idpozo,pozo,yacimiento,formacion,mes,gas_miles_m3,petroleo_m3,agua_m3,dias_efectivos
10639,CD-12,AGUARAGÜE,tupambi,2019-01,2304.81,269.81,36.84,30.67
10639,CD-12,AGUARAGÜE,tupambi,2019-02,2092.32,268.27,25.4,27.81
10639,CD-12,AGUARAGÜE,tupambi,2019-03,2307.23,309.21,24.47,30.94
10639,CD-12,AGUARAGÜE,tupambi,2019-04,2231.73,271.36,29.33,29.81
10639,CD-12,AGUARAGÜE,tupambi,2019-05,2295.07,253.64,31.7,30.88
10639,CD-12,AGUARAGÜE,tupambi,2019-06,2232.43,246.8,31.73,30.0
10639,CD-12,AGUARAGÜE,tupambi,2019-07,2281.81,245.35,36.08,30.39
10639,CD-12,AGUARAGÜE,tupambi,2019-08,2337.59,249.72,37.88,30.92
10639,CD-12,AGUARAGÜE,tupambi,2019-09,2254.49,247.75,36.21,29.62
10639,CD-12,AGUARAGÜE,tupambi,2019-10,2325.63,243.93,37.15,30.83
10639,CD-12,AGUARAGÜE,tupambi,2019-11,2253.97,236.87,35.58,29.77
10639,CD-12,AGUARAGÜE,tupambi,2019-12,2332.35,241.92,37.24,30.92
10639,CD-12,AGUARAGÜE,tupambi,2020-01,2298.91,238.76,37.12,30.85
10639,CD-12,AGUARAGÜE,tupambi,2020-02,2121.76,235.09,35.23,28.81
10639,CD-12,AGUARAGÜE,tupambi,2020-03,2230.77,241.02,36.25,30.85
10639,CD-12,AGUARAGÜE,tupambi,2020-04,2128.86,230.86,34.62,29.92
10639,CD-12,AGUARAGÜE,tupambi,2020-05,2146.87,228.8,36.18,31.0
10639,CD-12,AGUARAGÜE,tupambi,2020-06,2104.74,220.76,34.8,30.0
10639,CD-12,AGUARAGÜE,tupambi,2020-07,2188.81,227.47,35.71,31.0
10639,CD-12,AGUARAGÜE,tupambi,2020-08,2200.36,217.64,36.73,31.0
10639,CD-12,AGUARAGÜE,tupambi,2020-09,2048.39,200.44,36.15,29.15
10639,CD-12,AGUARAGÜE,tupambi,2020-10,2144.96,208.54,38.71,31.0
10639,CD-12,AGUARAGÜE,tupambi,2020-11,2030.83,197.47,36.79,29.65
10639,CD-12,AGUARAGÜE,tupambi,2020-12,2074.74,207.53,37.27,30.62
10639,CD-12,AGUARAGÜE,tupambi,2021-01,2275.91,218.3,35.39,31.0
10639,CD-12,AGUARAGÜE,tupambi,2021-02,1955.31,195.99,30.42,27.5
10639,CD-12,AGUARAGÜE,tupambi,2021-03,2092.67,213.74,44.75,29.86
10639,CD-12,AGUARAGÜE,tupambi,2021-04,2023.66,225.98,43.91,28.63
10639,CD-12,AGUARAGÜE,tupambi,2021-05,2150.06,241.47,51.37,29.92
