fecha,pozo,horas_linea,p_fondo_bar,p_boca_bar,oil_sm3,gas_sm3,agua_sm3
2013-07-08,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-09,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-10,15/9-F-11,0.0,,,0.0,0.0,0.0
2013-07-11,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-12,15/9-F-11,0.0,,,0.0,0.0,0.0
2013-07-13,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-14,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-15,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-16,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-17,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-18,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-19,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-20,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-21,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-22,15/9-F-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-23,15/9-F-11,0.0,,,0.0,0.0,0.0
2013-07-24,15/9-F-11,7.0,1.93,28.05,17.85,2772.5,0.0
2013-07-25,15/9-F-11,24.0,163.59,102.12,725.0,108940.1,0.0
2013-07-26,15/9-F-11,24.0,,,891.48,131386.5,0.0
2013-07-27,15/9-F-11,24.0,,,886.42,134616.7,0.0
2013-07-28,15/9-F-11,0.84,0.0,0.0,56.01,9011.8,0.0
2013-07-29,15/9-F-11,4.0,0.0,0.0,123.59,18792.5,0.0
2013-07-30,15/9-F-11,24.0,,,1032.38,155864.7,0.0
2013-07-31,15/9-F-11,5.08,273.95,94.56,190.35,29119.7,0.0
2013-08-01,15/9-F-11,0.0,316.01,0.85,0.0,0.0,0.0
2013-08-02,15/9-F-11,0.0,317.55,0.82,0.0,0.0,0.0
2013-08-03,15/9-F-11,15.07,277.8,96.5,590.09,88733.4,0.0
2013-08-04,15/9-F-11,24.0,273.59,96.2,1066.46,161227.0,0.0
2013-08-05,15/9-F-11,24.0,272.3,95.51,1059.61,160270.5,0.0
2013-08-06,15/9-F-11,24.0,271.56,95.04,1070.45,160951.3,0.0
2013-08-07,15/9-F-11,24.0,271.07,94.74,1069.96,160232.5,0.0
2013-08-08,15/9-F-11,24.0,270.69,94.52,1062.22,159483.8,0.0
2013-08-09,15/9-F-11,24.0,270.25,94.3,1074.0,162196.8,0.0
2013-08-10,15/9-F-11,24.0,269.99,94.06,1070.3,161999.0,0.0
2013-08-11,15/9-F-11,24.0,269.96,93.97,1054.09,160095.1,0.0
2013-08-12,15/9-F-11,24.0,269.87,93.86,1038.69,159050.3,0.0
2013-08-13,15/9-F-11,24.0,269.56,93.56,1050.89,160116.3,0.0
2013-08-14,15/9-F-11,24.0,269.41,93.23,1044.55,158506.7,0.0
